차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
제네시스 G70 2.0 터보 어드밴스드,"1,990만원",2019.05,"1,998 cc (252마력)","104,617 km",검정색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 프레지던트,"1,490만원",2015.08,"2,199 cc (202마력)","102,487 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
쉐보레 크루즈 2.0 디젤  LTZ 플러스,399만원,2015.01,"1,998 cc (163마력)","149,792 km",흰색,자동,디젤,0,0,0,0,1,0,1,1,0,1,,,
기아 K5  2.0 노블레스,"1,790만원",2020.04,"1,999 cc (160마력)","115,665 km",검정색,자동,가솔린,0,1,0,1,1,0,1,1,1,0,,,
현대 올 뉴 아반떼  1.6 모던,"1,690만원",2020.1,"1,598 cc (123마력)","55,963 km",진회색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
현대 포터2 슈퍼캡 내장탑차  스마트,"1,320만원",2017.04,"2,497 cc (133마력)","85,280 km",흰색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
현대 제네시스 DH G380 AWD 파이니스트 에디션,"1,700만원",2014.05,"3,778 cc (315마력)","146,080 km",진청색,자동,가솔린,0,0,1,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대  2.2 디젤 4WD 시그니처,"3,390만원",2020.05,"2,151 cc (202마력)","78,583 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
현대 그랜저IG 2.4 프리미엄,"1,790만원",2019.01,"2,359 cc (190마력)","123,672 km",진회색,자동,가솔린,1,0,0,1,1,1,1,1,1,0,,,
기아 더 뉴 봉고3 킹캡 초장축 L,"1,530만원",2021.01,"2,497 cc (133마력)","39,359 km",흰색,자동,디젤,0,0,0,1,0,0,1,0,0,0,,,
현대 벨로스터 N  2.0 터보 퍼포먼스팩,"1,750만원",2019.1,"1,998 cc ()","58,441 km",진회색,자동,가솔린,1,1,0,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  그래비티,"4,500만원",2023.04,"1,598 cc (230마력)","6,049 km",흰색,자동,가솔린 하이브리드,1,1,1,1,1,1,1,1,1,0,,,
현대 제네시스 DH G330 프리미엄,"1,430만원",2015.06,"3,342 cc (282마력)","167,832 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
기아 K5 하이브리드 2.0 HEV  시그니처,"2,580만원",2020.02,"1,999 cc (152마력)","79,938 km",흰색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
