차종,가격,연식,주행거리,연료,변속기,배기량,색상,전손이력,침수이력,소유자변경,썬루프,내비게이션,스마트키,오토라이트,주차감지센서,열선시트,통풍시트,가죽시트
(38러8091)현대 LF쏘나타LPI 스마트 기본형,830만원,15년04월(15년형),"141,324km",LPG,오토,"1,999cc",회색,없음,없음,2회,0,1,0,0,1,1,0,1
(26조9747)제네시스 G803.3 GDI AWD 프리미엄 럭셔리,"2,600만원",17년05월(17년형),"65,602km",가솔린,오토,"3,342cc",회색,없음,없음,4회,1,1,1,1,1,1,1,0
(01오5953)제네시스 G803.3 GDI AWD 럭셔리,"1,950만원",17년01월(17년형),"129,119km",가솔린,오토,"3,342cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(59구0488)기아 올 뉴 카니발9인승 2.2 디젤 하이리무진 노블레스,"2,030만원",16년07월(17년형),"181,890km",디젤,오토,"2,199cc",흰색,없음,없음,2회,0,1,1,1,1,1,1,0
(14마5699)기아 더 뉴 스포티지 R디젤 2WD 프레스티지,"1,030만원",13년10월(14년형),"94,808km",디젤,오토,0cc,흰색,없음,없음,없음,0,1,1,1,1,1,1,0
(43로6207)르노코리아 QM62.0 4WD RE Signature,"1,390만원",17년08월(17년형),"112,469km",디젤,오토,0cc,회색,없음,없음,1회,1,1,1,0,0,0,0,0
(26너0768)한국GM 더 넥스트 스파크LT Plus,560만원,15년11월(16년형),"65,865km",가솔린,오토,0cc,회색,없음,없음,10회,0,1,0,0,0,0,0,0
(232다8168)현대 벨로스터(JS)1.6 T-GDi 스포츠 코어,"1,390만원",20년04월(19년형),"92,200km",가솔린,오토,0cc,빨강색,없음,없음,1회,1,1,1,0,0,0,0,1
(26어3972)기아 레이1.0 가솔린 디럭스 스페셜,690만원,12년02월(12년형),"63,395km",가솔린,오토,0cc,초록색,없음,없음,3회,0,0,0,1,1,1,0,1
(41서0785)현대 그랜저HGHG220 디젤 모던,790만원,15년12월(16년형),"146,895km",디젤,오토,"2,199cc",인기색상,없음,없음,2회,0,0,1,1,1,1,0,1
(42무6237)현대 코나 일렉트릭프리미엄,"2,520만원",20년10월(20년형),"43,204km",전기,오토,123cc,흰색,없음,없음,없음,0,1,1,1,1,1,1,1
(137다5039)기아 모하비 더마스터3.0 디젤 4WD 마스터즈 그래비티,"4,500만원",21년11월(21년형),"21,537km",디젤,오토,"2,959cc",검정,없음,없음,없음,1,1,1,1,1,1,1,0
(09오3750)현대 쏘나타 뉴 라이즈2.0 모던,"1,820만원",19년01월(19년형),"57,171km",가솔린,오토,"1,999cc",쥐색,없음,없음,1회,0,1,1,0,1,1,1,0
(336로1097)한국GM 더 뉴 스파크LT 기본형,590만원,18년07월(19년형),"108,764km",가솔린,오토,999cc,회색,없음,없음,4회,0,1,1,1,1,1,0,1
(274보1125)현대 펠리세이드2.2 디젤 8인승 AWD 프레스티지,"3,800만원",21년11월(22년형),"10,133km",디젤,오토,"2,199cc",검정,없음,없음,없음,0,1,1,1,1,1,1,0
(97보4916)기아 더 뉴 봉고3 EV내장탑차 1톤 저상형 킹캡 초장축 기본형,"2,100만원",22년03월(22년형),"6,757km",전기,오토,180cc,흰색,없음,없음,1회,0,1,1,0,0,0,0,1
(11다0507)기아 올 뉴 카니발9인승 2.2 디젤 노블레스,"1,490만원",16년05월(16년형),"133,001km",디젤,오토,"2,199cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(52소9073)현대 싼타페 TM디젤 2.2 2WD 프레스티지,"2,250만원",18년07월(19년형),"92,423km",디젤,오토,"2,199cc",흰색,없음,없음,1회,0,1,1,1,1,1,1,1
(37두6818)현대 엑센트(신형)1.4 VVT Premier,310만원,12년01월(12년형),"200,675km",가솔린,오토,0cc,흰색,없음,없음,2회,0,0,0,0,0,0,0,0
(10수0820)기아 더 뉴 카니발하이리무진 2.2 디젤 9인승 노블레스 스페셜,"2,590만원",19년05월(19년형),"49,708km",디젤,오토,"2,199cc",검정색,없음,없음,3회,0,1,1,0,1,1,1,1
(47마0212)기아 올 뉴쏘렌토디젤 2.0 2WD 노블레스 스페셜,"1,550만원",16년11월(17년형),"148,684km",디젤,오토,"1,995cc",검정색,없음,없음,1회,0,1,1,1,1,1,1,1
(93무0994)현대 포터2초장축 파워게이트 슈퍼캡 스마트,"1,280만원",17년08월(18년형),"154,646km",디젤,오토,"2,497cc",흰색,없음,없음,1회,0,1,0,0,1,1,0,1
(66머7226)기아 all new 모닝럭셔리,430만원,11년05월(12년형),"153,039km",가솔린,오토,998cc,노랑,없음,없음,5회,0,0,0,0,0,0,0,0
(89더2629)현대 포터2초장축 슈퍼캡 CRDi DLX 고급형,760만원,13년09월(14년형),"114,180km",디젤,수동,"2,499cc",파랑색,없음,없음,2회,0,0,0,0,0,1,0,1
(21모9248)기아 더 뉴 카니발9인승 2.2 디젤 노블레스 스페셜,"2,090만원",18년09월(19년형),"133,939km",디젤,오토,"2,198cc",진주색,없음,없음,없음,1,1,1,1,1,1,1,1
(97구8049)기아 봉고31.2톤 파워게이트 초장축 2단 킹캡 프레스티지,590만원,16년08월(16년형),"307,856km",디젤,수동,"2,497cc",파랑색,없음,없음,1회,0,0,0,0,1,1,0,1
(92구8490)현대 포터2초장축 더블캡 CRDi SUP 최고급형,740만원,14년12월(15년형),"248,000km",디젤,오토,"2,497cc",인기색상,없음,없음,1회,0,0,0,0,0,1,0,1
(61다9427)기아 올 뉴 K31.6 가솔린 럭셔리,"1,460만원",18년05월(19년형),"14,786km",가솔린,오토,"1,598cc","파랑(남색,곤색)",없음,없음,3회,0,1,1,0,0,1,1,0
(984고6178)현대 더 뉴 그랜드 스타렉스밴 5인승 모던,"2,250만원",19년01월(19년형),"111,440km",디젤,오토,"2,497cc",회색,없음,없음,2회,0,0,0,1,1,1,1,1
