차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
지프 체로키(KL) 2.4 론지튜드 하이 AWD,"1,860만원",19년 4월식,"60,764km",가솔린,,빨간색,"2,360cc",2,무사고,1,0,1,1,0,0,0,0
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,020만원",20년 12월식(21년형),"47,383km",가솔린,,흰색,"1,591cc",1,사고,1,1,1,1,0,0,0,0
기아 K5 3세대 하이브리드 트랜디,"2,290만원",22년 8월식(23년형),"45,710km",가솔린+전기,,흰색,"1,999cc",1,단순수리,1,0,1,1,0,0,0,0
현대 더 뉴 그랜드 스타렉스 밴 3인승 스마트,"1,880만원",19년 12월식(20년형),"85,438km",디젤,,흰색,"2,497cc",1,무사고,1,1,0,0,0,0,0,1
르노코리아(삼성) SM3 Z.E RE,720만원,15년 12월식,"71,965km",전기,,흰색,74cc,7,무사고,1,0,1,1,0,0,0,1
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 마제스티 스페셜,"2,160만원",19년 12월식(20년형),"66,802km",디젤,,흰색,"2,157cc",2,무사고,1,1,1,1,0,0,0,0
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,"3,790만원",22년 6월식(23년형),"22,053km",디젤,,흰색,"2,151cc",1,무사고,1,1,1,0,0,0,0,0
현대 아반떼 AD 1.6 GDI 밸류 플러스,"1,130만원",17년 9월식(18년형),"82,780km",가솔린,,은색,"1,591cc",3,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 모닝 럭셔리,690만원,16년 12월식,"75,900km",가솔린,,진주색,998cc,4,무사고,1,0,1,1,0,0,0,1
기아 모닝 어반 가솔린 1.0 프레스티지,"1,220만원",22년 12월식(23년형),"10,369km",가솔린,,진주색,998cc,1,무사고,1,1,0,1,0,0,0,1
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,590만원",16년 9월식,"100,116km",가솔린,,검정색,"2,359cc",1,사고,1,1,1,0,0,0,0,0
재규어 E-PACE D180 S,"2,270만원",20년 12월식,"63,074km",디젤,,흰색,"1,999cc",1,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 크루즈 1.8 LT+,590만원,13년 10월식(14년형),"64,067km",가솔린,,검정색,"1,796cc",3,단순수리,1,0,1,0,0,0,0,0
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,"3,380만원",20년 3월식,"57,291km",가솔린+전기,,흰색,"2,359cc",2,단순수리,1,1,1,0,0,0,0,0
르노코리아(삼성) 캡처 가솔린 1.3 인텐스,"1,530만원",20년 6월식,"32,064km",가솔린,,빨간색,"1,332cc",4,무사고,1,0,0,1,0,0,0,0
기아 더 뉴 카니발 9인승 프레스티지,"1,960만원",19년 9월식(20년형),"87,492km",디젤,,흰색,"2,199cc",2,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) SM6 2.0 LPe LE (장애인용),"1,280만원",18년 10월식(19년형),"54,269km",LPG,,쥐색,"1,998cc",5,단순수리,1,0,1,1,0,0,0,0
기아 K5 3세대 가솔린 2.0 노블레스,"2,820만원",22년 11월식(23년형),"6,522km",가솔린,,청색,"1,999cc",1,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) SM6 1.5 dCi LE,990만원,17년 10월식,"112,294km",디젤,,쥐색,"1,461cc",1,단순수리,1,1,1,1,0,0,0,0
현대 LF 쏘나타 2.4 스타일,"1,130만원",14년 12월식(15년형),"53,603km",가솔린,,은회색,"2,359cc",1,무사고,1,0,1,1,0,0,0,1
기아 올 뉴 K7 2.4 GDI 프레스티지,"1,380만원",17년 1월식,"65,546km",가솔린,,쥐색,"2,359cc",3,단순수리,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 티볼리 LX 2WD 고급형,970만원,15년 11월식(16년형),"72,550km",가솔린,,청색,"1,597cc",1,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,"1,930만원",18년 12월식(19년형),"27,151km",디젤,,검정색,"2,157cc",2,단순수리,1,1,1,1,0,0,0,0
기아 K3 트렌디,680만원,14년 9월식(15년형),"67,820km",가솔린,,은색,"1,591cc",2,사고,1,0,1,1,0,0,0,1
현대 벨로스터 (JS) 1.4 터보 모던 코어,"1,150만원",18년 10월식,"58,125km",가솔린,,노란색,"1,353cc",3,단순수리,1,0,1,1,0,0,0,0
현대 베뉴 1.6 플럭스,"1,890만원",21년 4월식,"25,221km",가솔린,,검정색,"1,598cc",2,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 어메이징 뉴 크루즈 1.4 터보 LTZ,590만원,15년 11월식(16년형),"102,702km",가솔린,,흰색,"1,362cc",1,단순수리,1,0,1,1,0,0,0,1
기아 올 뉴 K3 프레스티지,"1,580만원",19년 8월식(20년형),"72,230km",가솔린,,흰색,"1,598cc",3,무사고,1,1,1,1,0,0,0,0
현대 코나 일렉트릭 프리미엄,"1,990만원",19년 11월식,"94,558km",전기,,쥐색,180cc,3,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 프리미엄,"1,620만원",19년 9월식(20년형),"89,383km",가솔린,,흰색,"1,999cc",1,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.0 4WD 노블레스 스페셜,"1,780만원",16년 11월식(17년형),"113,428km",디젤,,흰색,"1,995cc",1,단순수리,1,1,1,0,0,0,0,0
기아 올 뉴 K3 트렌디,"1,300만원",20년 5월식,"48,484km",가솔린,,흰색,"1,598cc",1,무사고,1,0,1,1,0,0,0,1
현대 포터2 CRDi 카고 초장축 일반캡  모던,"1,790만원",22년 5월식,"7,221km",디젤,,흰색,"2,497cc",1,무사고,1,1,1,0,0,0,0,1
현대 싼타페 TM 디젤 2.0 2WD 익스클루시브,"1,950만원",18년 4월식(19년형),"102,271km",디젤,,쥐색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
현대 캐스퍼 가솔린 1.0 디 에센셜,"1,540만원",22년 11월식(23년형),"36,694km",가솔린,,담녹색,998cc,1,무사고,1,1,1,1,0,0,0,0
현대 그랜저 IG 2.4 모던,"1,590만원",19년 1월식,"90,523km",가솔린,,쥐색,"2,359cc",2,단순수리,1,0,1,1,0,0,0,0
제네시스 G90 가솔린 4WD 5.0 프레스티지,"4,730만원",19년 1월식,"79,266km",가솔린,,검정색,"5,038cc",1,무사고,1,1,1,0,0,0,0,0
현대 그랜저 HG HG330 셀러브리티,920만원,11년 11월식(12년형),"155,369km",가솔린,,흰색,"3,342cc",5,사고,1,1,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) 트렌디,880만원,19년 6월식(20년형),"14,697km",가솔린,,하늘색,998cc,0,무사고,1,0,1,0,0,0,0,1
르노코리아(삼성) SM6 2.0 프라임 SE,"1,130만원",19년 3월식,"78,368km",가솔린,,흰색,"1,998cc",1,무사고,1,1,1,1,0,0,0,0
기아 스팅어 마이스터 2.5 터보 2WD 플래티넘,"2,980만원",22년 2월식,"50,630km",가솔린,,흰색,"2,497cc",1,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 싼타페 가솔린 2.5 2WD 캘리그래피,"3,870만원",23년 5월식,"15,158km",가솔린,,흰색,"2,497cc",4,무사고,1,1,1,0,0,0,0,0
현대 그랜저 IG 3.0 모던 베이직,"1,670만원",17년 9월식(18년형),"84,141km",가솔린,,검정색,"2,999cc",5,무사고,1,1,1,1,0,0,0,0
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,"3,480만원",20년 9월식(21년형),"47,361km",가솔린+전기,,쥐색,"1,598cc",3,단순수리,1,1,1,1,0,0,0,0
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,920만원,16년 7월식(17년형),"79,192km",가솔린,,흰색,"1,591cc",1,사고,1,0,0,0,0,0,0,1
기아 K7 프리미어 가솔린 2.5 프레스티지,"1,890만원",19년 8월식(20년형),"89,738km",가솔린,,검정색,"2,497cc",1,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,850만원,15년 3월식,"100,627km",가솔린,,쥐색,"1,591cc",1,단순수리,1,0,1,1,0,0,0,0
르노코리아(삼성) QM6 가솔린 2WD LE,"1,250만원",18년 6월식(19년형),"65,906km",가솔린,,검정색,"1,997cc",4,단순수리,1,0,0,1,0,0,0,1
지프 컴패스 2세대 2.4 리미티드 AWD,"2,790만원",22년 9월식,"13,321km",가솔린,,흰색,"2,360cc",1,무사고,1,1,0,1,0,0,0,0
벤츠 GLE-클래스 W167 가솔린 4WD GLE450 4MATIC,"6,540만원",20년 6월식,"88,288km",가솔린+전기,,흰색,"2,999cc",2,단순수리,1,1,1,0,0,0,0,0
현대 코나 일렉트릭 프리미엄,"2,290만원",20년 2월식,"53,356km",전기,,쥐색,180cc,1,무사고,1,1,1,1,0,0,0,0
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,"1,620만원",22년 1월식,"17,897km",가솔린,,흰색,998cc,1,단순수리,1,1,1,1,0,0,0,0
현대 그랜저 HG HG300 프라임,730만원,11년 10월식(12년형),"129,867km",가솔린,,검정색,"2,999cc",2,단순수리,1,1,1,1,0,0,0,0
현대 아반떼 AD 1.6 GDI 스마트 세부등급 없음,920만원,15년 11월식(16년형),"99,867km",가솔린,,은색,"1,591cc",2,단순수리,1,0,1,1,0,0,0,1
기아 올 뉴 K3 트렌디,"1,340만원",20년 5월식,"35,950km",가솔린,,흰색,"1,598cc",1,무사고,1,0,1,1,0,0,0,1
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe RE,"1,890만원",20년 11월식,"42,096km",가솔린,,쥐색,"1,997cc",1,무사고,1,1,1,1,0,0,0,0
현대 포터2 일렉트릭 초장축 슈퍼캡 프리미엄 스페셜,"1,870만원",21년 6월식,"49,033km",전기,,흰색,180cc,1,무사고,1,1,1,1,0,0,0,0
미니 쿠퍼 클럽맨(2세대) High,"2,690만원",21년 2월식,"25,419km",가솔린,,진주색,"1,499cc",0,무사고,1,0,1,1,0,0,0,0
기아 더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,"2,290만원",18년 10월식(19년형),"54,376km",디젤,,쥐색,"2,199cc",2,단순수리,1,1,1,0,0,0,0,0
KG모빌리티(쌍용) 뉴코란도 C 2.2 익스트림 2WD,910만원,16년 4월식,"68,907km",디젤,,흰색,"2,157cc",1,무사고,1,0,1,1,0,0,0,1
기아 더 뉴 K3 2세대 시그니처,"2,350만원",23년 11월식(24년형),"7,147km",가솔린,,흰색,"1,598cc",1,무사고,1,1,1,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 프레스티지,"1,010만원",21년 6월식(22년형),"27,171km",가솔린,,흰색,998cc,0,사고,1,1,1,1,0,0,0,1
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (8인승),"2,790만원",19년 1월식,"152,392km",디젤,,흰색,"2,199cc",3,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 스파크 스파크 S LS+,580만원,14년 9월식,"15,481km",가솔린,,하늘색,995cc,1,무사고,1,0,1,0,0,0,0,1
BMW 4시리즈 (F32) 420i 그란쿠페 스폐셜 에디션,"2,570만원",19년 11월식(20년형),"50,635km",가솔린,,은색,"1,998cc",2,무사고,1,0,1,1,0,0,0,0
BMW 2시리즈 액티브 투어러 (F45) 조이,"1,990만원",20년 6월식,"44,795km",디젤,,청색,"1,995cc",1,무사고,1,0,1,1,0,0,0,0
BMW 1시리즈 (F40) 가솔린 4WD M135i xDrive,"4,290만원",23년 10월식,"4,006km",가솔린,,검정색,"1,998cc",1,무사고,1,0,1,1,0,0,0,0
르노코리아(삼성) XM3 가솔린 터보 1.3 RE 시그니쳐,"1,690만원",20년 10월식,"53,098km",가솔린,,은색,"1,332cc",0,무사고,1,1,1,1,0,0,0,0
기아 디 올 뉴 스포티지 하이브리드 가솔린 터보 1.6 2WD 시그니처 그래비티,"3,810만원",22년 3월식,"11,583km",가솔린+전기,,검정색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,350만원",21년 9월식(22년형),"34,008km",가솔린,,흰색,998cc,1,무사고,1,0,1,1,0,0,0,0
현대 그랜저 HG HG300 프라임,870만원,12년 5월식,"65,763km",가솔린,,은회색,"2,999cc",4,단순수리,1,1,1,1,0,0,0,0
기아 스팅어 2.0 터보 2WD 플래티넘,"2,350만원",18년 3월식,"48,924km",가솔린,,쥐색,"1,998cc",3,무사고,1,1,1,1,0,0,0,0
현대 아반떼 AD 1.6 e-VGT 스마트 세부등급 없음,"1,110만원",16년 5월식(17년형),"43,968km",디젤,,흰색,"1,582cc",1,단순수리,1,0,1,1,0,0,0,1
쉐보레(GM대우) 더 넥스트 이쿼녹스 가솔린 4WD 프리미어,"2,980만원",22년 6월식,"16,246km",가솔린,,흰색,"1,490cc",0,무사고,1,1,1,1,0,0,0,0
렉서스 UX300e 2WD,"3,300만원",22년 7월식,"11,601km",전기,,쥐색,153cc,1,무사고,1,1,0,1,0,0,0,0
볼보 S60 D4 2세대,"1,020만원",12년 11월식(13년형),"60,216km",디젤,,흰색,"1,984cc",3,무사고,1,0,0,1,0,0,0,0
기아 더 뉴 카렌스 1.7 VGT 프레스티지,940만원,17년 11월식(18년형),"115,629km",디젤,,은색,"1,685cc",4,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) 뉴SM3 SE 블랙,470만원,12년 5월식,"61,795km",가솔린,,흰색,"1,598cc",2,단순수리,1,0,0,0,0,0,0,1
기아 올 뉴 K3 노블레스,"1,620만원",18년 11월식(19년형),"62,127km",가솔린,,청색,"1,598cc",1,무사고,1,1,1,1,0,0,0,0
BMW X5 (F15) xDrive 30d,"2,560만원",15년 3월식,"135,936km",디젤,,쥐색,"2,993cc",5,무사고,1,0,1,1,0,0,0,0
쉐보레(GM대우) 스파크 LS 스타,330만원,12년 11월식,"98,957km",가솔린,,흰색,995cc,1,사고,1,0,0,0,0,0,0,1
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"1,880만원",20년 12월식(21년형),"49,563km",가솔린,,흰색,"1,341cc",0,단순수리,1,0,0,1,0,0,0,0
기아 스포티지 4세대 디젤 2.0 2WD 노블레스 세부등급 없음,"1,550만원",16년 5월식,"73,355km",디젤,,흰색,"1,995cc",3,무사고,1,1,1,1,0,0,0,0
기아 K7 프리미어 가솔린 2.5 프레스티지,"1,950만원",19년 11월식(20년형),"76,017km",가솔린,,검정색,"2,497cc",2,무사고,1,1,1,1,0,0,0,0
기아 K5 2세대 2.0 MX 노블레스,"1,320만원",15년 12월식(16년형),"87,157km",가솔린,,검정색,"1,999cc",1,무사고,1,1,1,1,0,0,0,0
기아 K5 2세대 LPI MX 럭셔리,980만원,17년 2월식,"108,295km",LPG,,흰색,"1,999cc",2,무사고,1,0,1,1,0,0,0,1
현대 그랜저 IG 3.0 LPi 모던 (렌터카용),"1,910만원",18년 12월식(19년형),"78,906km",LPG,,흰색,"2,999cc",3,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 1.6 터보 인스퍼레이션,"2,470만원",20년 2월식,"82,440km",가솔린,,검정색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
현대 쏘나타 하이브리드 2.0 로열,890만원,12년 10월식,"106,298km",가솔린+전기,,흰색,"1,999cc",4,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 아베오 세단 LT 최고급형,490만원,14년 1월식,"68,137km",가솔린,,은색,"1,598cc",3,단순수리,1,0,1,0,0,0,0,1
현대 아반떼 AD 1.6 GDI 밸류 플러스,990만원,16년 12월식(17년형),"93,306km",가솔린,,쥐색,"1,591cc",1,단순수리,1,0,1,1,0,0,0,1
기아 K5 2세대 2.0 MX 프레스티지,"1,170만원",15년 8월식(16년형),"100,477km",가솔린,,은색,"1,999cc",1,무사고,1,0,1,1,0,0,0,1
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처,"3,350만원",20년 5월식(21년형),"90,207km",가솔린+전기,,쥐색,"1,598cc",3,무사고,1,1,1,0,0,0,0,0
현대 코나 하이브리드 가솔린 1.6 하이브리드 모던 스폐셜,"2,050만원",20년 4월식,"75,404km",가솔린+전기,,흰색,"1,580cc",1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 트랙스 1.6 디젤 LT 래더패키지,950만원,16년 11월식,"44,026km",디젤,,흰색,"1,598cc",0,무사고,1,0,0,0,0,0,0,1
기아 K5 2세대 2.0 MX 프레스티지,"1,250만원",16년 12월식(17년형),"110,480km",가솔린,,검정색,"1,999cc",1,무사고,1,1,1,1,0,0,0,0
현대 LF 쏘나타 1.6 터보 스마트 세부등급 없음,"1,530만원",16년 6월식,"36,408km",가솔린,,은회색,"1,591cc",4,무사고,1,0,1,1,0,0,0,1
르노코리아(삼성) QM3 RE 시그니처,830만원,15년 5월식,"53,797km",디젤,,빨간색,"1,461cc",1,무사고,1,0,1,1,0,0,0,1
현대 더 뉴 팰리세이드 디젤 2.2 2WD VIP,"5,190만원",23년 2월식,"5,929km",디젤,,쥐색,"2,199cc",1,무사고,1,1,1,0,0,0,0,0
지프 그랜드 체로키 3.6 리미티드 WK2,"2,050만원",15년 12월식,"91,368km",가솔린,,검정색,"3,604cc",1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,"2,430만원",18년 2월식,"50,931km",디젤,,검정색,"2,199cc",5,무사고,1,1,1,0,0,0,0,0
기아 스팅어 2.0 터보 2WD 플래티넘,"1,890만원",18년 4월식,"55,315km",가솔린,,쥐색,"1,998cc",3,단순수리,1,1,1,1,0,0,0,0
현대 넥쏘 프리미엄,"2,520만원",22년 2월식(23년형),"38,393km",수소전기,,쥐색,1cc,1,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 렉스턴 스포츠 디젤 2.2 4WD 노블레스,"1,740만원",18년 6월식,"109,015km",디젤,,흰색,"2,157cc",3,무사고,1,1,1,1,0,0,0,0
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 모던,"2,250만원",20년 10월식,"46,904km",가솔린,,흰색,"1,591cc",1,무사고,1,1,1,1,0,0,0,0
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (7인승),"3,770만원",22년 3월식,"45,260km",디젤,,검정색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,"2,880만원",23년 7월식(24년형),"15,319km",가솔린,,흰색,"1,497cc",1,무사고,1,1,1,1,0,0,0,0
벤츠 GLE-클래스 W167 디젤 4WD GLE300d 4MATIC,"6,430만원",20년 8월식,"55,750km",디젤,,검정색,"1,950cc",7,무사고,1,0,1,1,0,0,0,0
현대 아반떼 AD 1.6 GDI 밸류 플러스,"1,280만원",17년 12월식(18년형),"52,114km",가솔린,,흰색,"1,591cc",1,무사고,1,0,1,1,0,0,0,1
포드 익스플로러 2.3 리미티드 4WD 5세대,"1,950만원",17년 1월식,"81,554km",가솔린,,흰색,"2,261cc",4,단순수리,1,1,1,1,0,0,0,0
기아 카니발 (4세대) 디젤 2.2 (9인승) 시그니처,"3,420만원",20년 10월식(21년형),"60,682km",디젤,,검정색,"2,151cc",1,무사고,1,1,1,0,0,0,0,0
BMW 3시리즈 (G20) 가솔린 2WD M340i,"4,350만원",20년 4월식,"90,231km",가솔린,,쥐색,"2,998cc",3,무사고,1,0,1,1,0,0,0,0
현대 싼타페 더 프라임 디젤 2.2 4WD 익스클루시브 스페셜,"1,960만원",16년 12월식(17년형),"88,457km",디젤,,검정색,"2,199cc",1,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 모닝 (JA) 럭셔리,"1,020만원",20년 1월식,"19,892km",가솔린,,흰색,998cc,1,단순수리,1,0,1,1,0,0,0,0
벤츠 CLS-클래스 C257 CLS450 4MATIC AMG Line,"6,350만원",21년 2월식,"58,802km",가솔린,,흰색,"2,999cc",2,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"2,210만원",22년 9월식(23년형),"22,147km",가솔린,,청색,"1,341cc",0,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 K7 하이브리드 노블레스,"1,950만원",17년 6월식,"127,948km",가솔린+전기,,검정색,"2,359cc",3,단순수리,1,1,1,0,0,0,0,0
기아 더 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,"2,190만원",19년 1월식,"73,739km",디젤,,쥐색,"1,995cc",1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,330만원",18년 5월식,"5,997km",가솔린,,검정색,998cc,3,무사고,1,0,1,1,0,0,0,1
현대 올 뉴 투싼 TL 디젤 1.6 AWD 스마트,"1,690만원",19년 12월식(20년형),"62,363km",디젤,,쥐색,"1,598cc",1,단순수리,0,0,1,1,0,0,0,1
쉐보레(GM대우) 더 뉴 트레일블레이저 1.3 터보 2WD RS,"2,840만원",23년 9월식(24년형),"3,768km",가솔린,,흰색,"1,341cc",1,무사고,1,1,0,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 프리미엄,"1,850만원",18년 11월식(19년형),"35,746km",가솔린,,흰색,"1,598cc",1,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 캘리그래피,"2,650만원",20년 6월식,"85,640km",가솔린,,쥐색,"2,497cc",3,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 니로 프레스티지,"2,040만원",20년 1월식,"55,691km",가솔린+전기,,쥐색,"1,580cc",2,사고,1,1,1,1,0,0,0,0
푸조 5008 2.0 BlueHDi GT,"1,750만원",17년 12월식(18년형),"163,669km",디젤,,흰색,"1,997cc",2,무사고,1,0,1,1,0,0,0,0
기아 더 뉴 K7 2.4 GDI 프레스티지 스페셜,660만원,13년 4월식,"113,333km",가솔린,,흰색,"2,359cc",7,사고,1,0,1,1,0,0,0,0
기아 올 뉴 K3 시그니처,"1,780만원",20년 12월식(21년형),"37,730km",가솔린,,흰색,"1,598cc",0,단순수리,1,1,1,1,0,0,0,0
현대 싼타페 더 프라임 디젤 2.0 2WD 1 밀리언,"1,820만원",16년 8월식(17년형),"63,577km",디젤,,검정색,"1,995cc",2,단순수리,1,1,1,1,0,0,0,0
쉐보레(GM대우) 트레일블레이저 1.3 가솔린 터보 2WD RS,"2,190만원",23년 2월식,"22,427km",가솔린,,하늘색,"1,341cc",0,무사고,1,1,0,1,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 프리미어,980만원,21년 1월식,"20,407km",가솔린,,쥐색,999cc,0,무사고,1,0,0,1,0,0,0,1
르노코리아(삼성) 더 뉴 QM6 가솔린 2WD 2.0 GDe 프리미에르,"1,920만원",19년 10월식(20년형),"75,946km",가솔린,,검정색,"1,997cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 맥스크루즈 가솔린 3.3 4WD 프레스티지,"2,180만원",16년 6월식(17년형),"26,074km",가솔린,,갈색,"3,342cc",1,단순수리,1,1,1,1,0,0,0,0
기아 스팅어 3.3 터보 AWD GT,"2,480만원",19년 8월식(20년형),"60,638km",가솔린,,빨간색,"3,342cc",3,단순수리,1,1,1,1,0,0,0,0
제네시스 G90 가솔린 4WD 3.3 T 프리미엄 럭셔리,"4,660만원",19년 3월식,"70,850km",가솔린,,검정색,"3,342cc",3,무사고,1,1,1,0,0,0,0,0
기아 K5 3세대 하이브리드 시그니처,"2,820만원",21년 7월식,"41,906km",가솔린+전기,,검정색,"1,999cc",3,사고,1,1,1,0,0,0,0,0
기아 더 뉴 봉고III 트럭 EV 카고 1톤 2WD 초장축 킹캡 GLS,"1,930만원",22년 2월식,"30,321km",전기,,흰색,180cc,1,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 모하비 디젤 3.0 4WD 프레지던트,"2,290만원",16년 10월식(17년형),"87,127km",디젤,,진주색,"2,959cc",2,무사고,1,1,1,1,0,0,0,0
아우디 A5 (F5) 가솔린 4WD 45 TFSI 콰트로 프리미엄 쿠페,"4,460만원",22년 5월식,"18,064km",가솔린,,흰색,"1,984cc",1,무사고,1,1,1,1,0,0,0,0
기아 올 뉴 카니발 9인승 노블레스,"1,630만원",16년 6월식,"131,876km",디젤,,검정색,"2,199cc",1,무사고,1,1,1,1,0,0,0,0
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,"2,230만원",21년 4월식,"21,641km",가솔린,,쥐색,"1,598cc",1,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 아베오 세단 1.4 터보 LT 최고급형,590만원,15년 5월식,"93,924km",가솔린,,흰색,"1,362cc",3,무사고,1,0,1,0,0,0,0,1
시트로엥 그랜드 C4 피카소 1.6 B-HDI 필,"1,290만원",17년 3월식,"83,335km",디젤,,쥐색,"1,560cc",1,단순수리,1,0,1,1,0,0,0,0
벤츠 E-클래스 W213 E220d 4MATIC 익스클루시브,"6,490만원",23년 9월식,"8,474km",디젤,,흰색,"1,993cc",1,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 맥스크루즈 디젤 2.2 4WD 파이니스트 에디션,"1,760만원",16년 6월식(17년형),"152,178km",디젤,,흰색,"2,199cc",2,무사고,1,0,1,1,0,0,0,0
르노코리아(삼성) 캡처 가솔린 1.3 에디션 파리,"1,590만원",20년 8월식,"58,883km",가솔린,,흰색,"1,332cc",2,무사고,1,0,1,1,0,0,0,0
기아 니로 프레스티지,"1,450만원",18년 3월식,"116,196km",가솔린+전기,,청색,"1,580cc",3,단순수리,1,1,1,1,0,0,0,0
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,"1,630만원",16년 4월식,"64,577km",디젤,,쥐색,"1,995cc",4,무사고,1,1,1,1,0,0,0,0
현대 쏘나타 DN8 2.0 가솔린 인스퍼레이션,"2,050만원",19년 6월식(20년형),"85,911km",가솔린,,흰색,"1,999cc",3,사고,1,1,1,0,0,0,0,0
현대 더 뉴 아반떼 1.6 GDi 모던 기본형,850만원,15년 6월식(16년형),"120,238km",가솔린,,흰색,"1,591cc",3,무사고,1,0,1,1,0,0,0,1
현대 쏘나타 DN8 2.0 가솔린 프리미엄,"1,940만원",20년 9월식(21년형),"7,802km",가솔린,,은색,"1,999cc",1,단순수리,1,0,1,1,0,0,0,0
기아 K5 2세대 2.0 SX 스타일 에디션,"1,490만원",18년 1월식,"40,465km",가솔린,,흰색,"1,999cc",3,단순수리,1,0,1,1,0,0,0,1
현대 올 뉴 투싼 TL 디젤 2.0 2WD 모던,"1,630만원",18년 11월식(19년형),"85,957km",디젤,,쥐색,"1,995cc",1,무사고,1,0,1,1,0,0,0,1
벤츠 E-클래스 W213 E300 익스클루시브,"3,490만원",19년 6월식,"82,275km",가솔린,,쥐색,"1,991cc",2,무사고,1,1,1,0,0,0,0,0
기아 니로 프레스티지,"1,490만원",17년 9월식(18년형),"114,599km",가솔린+전기,,청색,"1,580cc",3,무사고,1,1,1,1,0,0,0,0
기아 셀토스 가솔린 터보 1.6 2WD 시그니처,"2,080만원",20년 12월식(21년형),"37,158km",가솔린,,쥐색,"1,591cc",0,무사고,1,1,0,1,0,0,0,0
기아 카니발 (4세대) 가솔린 3.5 (7인승) 시그니처,"4,020만원",22년 1월식,"15,286km",가솔린,,검정색,"3,470cc",1,무사고,1,1,1,1,0,0,0,0
KG모빌리티(쌍용) 토레스 가솔린 1.5 2WD T7,"2,480만원",22년 8월식(23년형),"28,179km",가솔린,,흰색,"1,497cc",1,무사고,1,1,1,1,0,0,0,0
