차종,가격,연식,주행거리,연료,변속기,색상,배기량,소유자변경,사고이력,열선시트,통풍시트,내비게이션,스마트키,썬루프,오토라이트,주차감지센서,가죽시트
기아 카니발 (4세대) 가솔린 3.5 (7인승) 노블레스,"4,060만원",23년 11월식,"7,507km",가솔린,,흰색,"3,470cc",0,무사고,1,1,1,0,0,0,0,0
현대 에쿠스(신형) VS380 익스클루시브,"1,820만원",14년 9월식(15년형),"114,362km",가솔린,,청색,"3,778cc",0,단순수리,1,1,1,0,0,0,0,0
현대 팰리세이드 디젤 2.2 2WD 익스클루시브 (8인승),"2,830만원",19년 4월식,"47,285km",디젤,,검정색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,"1,680만원",17년 2월식,"53,243km",디젤,,흰색,"1,995cc",0,무사고,1,1,1,1,0,0,0,0
기아 K5 2세대 2.0 MX 프레스티지,"1,250만원",16년 12월식(17년형),"110,480km",가솔린,,검정색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 2.5 프리미엄 초이스,"2,090만원",20년 6월식,"99,736km",가솔린,,검정색,"2,497cc",0,무사고,1,1,1,1,0,0,0,0
BMW 5시리즈 (F10) 528i M 에어로다이나믹 프로 스페셜 에디션,"2,450만원",16년 12월식,"80,908km",가솔린,,쥐색,"1,997cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 모닝 디럭스 스페셜,460만원,12년 2월식,"94,059km",가솔린,,진주색,998cc,0,무사고,1,0,0,0,0,0,0,1
제네시스 G70 2.0T AWD 스포츠 패키지,"2,900만원",19년 3월식,"70,267km",가솔린,,흰색,"1,998cc",0,무사고,1,1,1,0,0,0,0,0
쉐보레(GM대우) 더 뉴 스파크 LT,750만원,18년 7월식(19년형),"48,801km",가솔린,,진주색,999cc,0,단순수리,1,0,1,1,0,0,0,1
제네시스 GV80 디젤 3.0 AWD (5인승),"7,590만원",22년 3월식,"7,257km",디젤,,검정색,"2,996cc",0,무사고,1,1,1,0,0,0,0,0
기아 올 뉴 카니발 9인승 노블레스,"1,550만원",14년 7월식(15년형),"117,516km",디젤,,흰색,"2,199cc",0,단순수리,1,1,1,1,0,0,0,0
현대 더 뉴 아반떼 AD 1.6 프리미엄,"1,790만원",18년 10월식(19년형),"41,294km",가솔린,,쥐색,"1,598cc",0,무사고,1,1,1,1,0,0,0,0
르노코리아(삼성) 뉴 QM6 LPG 2.0 (일반인 판매용) RE,"1,990만원",21년 3월식,"79,322km",LPG,,흰색,"1,998cc",0,무사고,1,1,1,1,0,0,0,0
벤츠 CLA-클래스 C117 CLA250 4MATIC,"2,150만원",18년 6월식,"63,558km",가솔린,,쥐색,"1,991cc",0,무사고,1,0,0,0,0,0,0,1
기아 더 뉴 레이 시그니처,"1,390만원",21년 9월식(22년형),"25,871km",가솔린,,진주색,998cc,0,단순수리,1,0,0,1,0,0,0,1
BMW 5시리즈 (G30) 520i 럭셔리,"3,190만원",19년 7월식,"54,746km",가솔린,,검정색,"1,998cc",0,무사고,1,0,1,1,0,0,0,0
기아 모닝 어반 가솔린 1.0 시그니쳐,"1,390만원",22년 12월식(23년형),"19,430km",가솔린,,쥐색,998cc,0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 7인승 리무진 VIP,"2,350만원",18년 4월식(19년형),"85,877km",디젤,,검정색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 봉고III 트럭 CRDi 카고 1톤 2WD 초장축 킹캡 L,"2,020만원",23년 3월식,"13,800km",디젤,,흰색,"2,497cc",0,무사고,1,0,0,0,0,0,0,1
현대 아반떼 AD 1.6 터보 스포츠 익스트림 셀렉션,"1,490만원",17년 10월식(18년형),"85,467km",가솔린,,검정색,"1,591cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 프레스티지,"1,430만원",21년 10월식(22년형),"17,232km",가솔린,,진주색,998cc,0,무사고,1,0,1,1,0,0,0,1
기아 K7 프리미어 LPG 3.0 (렌터카) 스탠다드,"1,950만원",20년 12월식(21년형),"62,219km",LPG,,검정색,"2,999cc",0,무사고,1,1,0,1,0,0,0,1
제네시스 GV80 디젤 3.0 AWD (7인승),"5,450만원",20년 2월식,"87,234km",디젤,,흰색,"2,996cc",0,단순수리,1,1,1,0,0,0,0,0
현대 올 뉴 투싼 디젤 2.0 2WD 프리미엄,"1,520만원",16년 1월식,"110,931km",디젤,,흰색,"1,995cc",0,무사고,1,1,0,1,0,0,0,0
현대 LF 쏘나타 2.0 케어플러스,"1,450만원",16년 5월식(17년형),"31,682km",가솔린,,흰색,"1,999cc",0,무사고,1,0,1,1,0,0,0,0
현대 더 뉴 그랜저 가솔린 3.3 프리미엄 초이스,"2,380만원",20년 7월식,"90,062km",가솔린,,쥐색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
현대 더 뉴 그랜저 하이브리드 가솔린 2.4 하이브리드 캘리그래피,"3,720만원",21년 1월식,"44,842km",가솔린+전기,,검정색,"2,359cc",0,단순수리,1,1,1,0,0,0,0,0
제네시스 G80 3.3 GDI AWD 럭셔리,"2,220만원",18년 6월식,"91,260km",가솔린,,쥐색,"3,342cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 카니발 7인승 리무진 프레지던트,"2,380만원",18년 6월식(19년형),"86,600km",디젤,,흰색,"2,199cc",0,무사고,1,1,1,1,0,0,0,0
기아 더 뉴 레이 럭셔리,"1,190만원",20년 1월식,"27,245km",가솔린,,검정색,998cc,0,무사고,1,0,0,1,0,0,0,1
기아 K5 3세대 가솔린 2.0 프레스티지,"1,680만원",20년 2월식,"89,437km",가솔린,,검정색,"1,999cc",0,사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 크루즈 1.8 LT+ 레더 패키지,490만원,13년 7월식(14년형),"105,280km",가솔린,,쥐색,"1,796cc",0,단순수리,1,0,0,0,0,0,0,1
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,"1,830만원",18년 11월식(19년형),"47,907km",가솔린,,쥐색,"1,997cc",0,무사고,1,1,1,1,0,0,0,0
쉐보레(GM대우) 스파크 LS 스타,450만원,11년 7월식(12년형),"47,577km",가솔린,,분홍색,995cc,0,무사고,1,0,0,0,0,0,0,1
현대 LF 쏘나타 하이브리드 2.0 HEV 프리미엄,"1,490만원",14년 12월식(15년형),"109,098km",가솔린+전기,,흰색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
현대 YF 쏘나타 Y20 프리미어 세부등급 없음,630만원,10년 4월식,"60,682km",가솔린,,은색,"1,998cc",0,단순수리,1,0,1,1,0,0,0,1
푸조 3008 2세대 1.5 BlueHDi GT Line,"1,740만원",19년 7월식,"83,980km",디젤,,쥐색,"1,499cc",0,단순수리,1,0,1,1,0,0,0,0
기아 올 뉴 모닝 (JA) LPi 럭셔리,950만원,19년 8월식(20년형),"64,020km",LPG,,검정색,998cc,0,무사고,1,0,0,1,0,0,0,1
제네시스 더 뉴 G70 가솔린 터보 3.3 스포츠 패키지 AWD,"4,720만원",22년 9월식(23년형),"13,532km",가솔린,,진주색,"3,342cc",0,무사고,1,1,1,0,0,0,0,0
기아 더 뉴 레이 럭셔리,"1,170만원",19년 1월식,"21,540km",가솔린,,흰색,998cc,0,단순수리,1,0,1,1,0,0,0,1
기아 K5 2세대 2.0 MX 프레스티지,"1,270만원",16년 1월식,"79,614km",가솔린,,흰색,"1,999cc",0,무사고,1,0,1,1,0,0,0,1
쉐보레(GM대우) 스파크 스트라이프 에디션,430만원,12년 11월식,"67,358km",가솔린,,빨간색,995cc,0,무사고,1,0,1,0,0,0,0,1
현대 쏘나타 DN8 2.0 가솔린 프리미엄,"2,150만원",20년 3월식,"15,950km",가솔린,,쥐색,"1,999cc",0,무사고,1,1,1,1,0,0,0,0
BMW 3시리즈 (F30) 320d M 스포츠,"1,650만원",16년 2월식,"123,543km",디젤,,흰색,"1,995cc",0,무사고,1,0,1,1,0,0,0,0
기아 올 뉴 K7 하이브리드 노블레스 스페셜,"1,950만원",18년 3월식,"129,335km",가솔린+전기,,쥐색,"2,359cc",0,무사고,1,1,1,1,0,0,0,0
기아 스포티지 더 볼드 디젤 2.0 2WD 트렌디,"1,850만원",20년 9월식,"29,660km",디젤,,흰색,"1,995cc",0,무사고,1,1,0,1,0,0,0,1
제네시스 GV70 가솔린 터보 2.5 스포츠 AWD,"5,580만원",21년 3월식,"33,683km",가솔린,,흰색,"2,497cc",0,무사고,1,1,1,0,0,0,0,0
현대 LF 쏘나타 LPI 스마트,890만원,16년 6월식,"118,156km",LPG,,은회색,"1,999cc",0,무사고,0,0,1,0,0,0,0,1
